sensor_id,datetime,value
light,1488362400.0,0.0
light,1488362700.0,0.0
light,1488363000.0,13.4
light,1488363300.0,0.0
light,1488363600.0,11.9
light,1488363900.0,0.0
light,1488364200.0,14.4
light,1488364500.0,0.0
light,1488364800.0,6.5
light,1488365100.0,10.9
light,1488365400.0,4.7
light,1488365700.0,7.8
light,1488366000.0,9.7
light,1488366300.0,0.0
light,1488366600.0,11.8
light,1488366900.0,14.5
light,1488367200.0,0.0
light,1488367500.0,14.5
light,1488367800.0,1.7
light,1488368100.0,14.3
light,1488368400.0,0.0
light,1488368700.0,0.0
light,1488369000.0,0.0
light,1488369300.0,14.3
light,1488369600.0,14.1
light,1488369900.0,14.2
light,1488370200.0,0.0
light,1488370500.0,8.5
light,1488370800.0,5.2
light,1488371100.0,14.4
light,1488371400.0,0.2
light,1488371700.0,12.3
light,1488372000.0,0.2
light,1488372300.0,0.0
light,1488372600.0,0.0
light,1488372900.0,4.8
light,1488373200.0,0.0
light,1488373500.0,0.0
light,1488373800.0,7.7
light,1488374100.0,0.3
light,1488374400.0,0.3
light,1488374700.0,3.1
light,1488375000.0,14.5
light,1488375300.0,13.2
light,1488375600.0,0.3
light,1488375900.0,0.0
light,1488376200.0,13.9
light,1488376500.0,9.4
light,1488376800.0,3.4
light,1488377100.0,12.1
light,1488377400.0,5.2
light,1488377700.0,0.0
light,1488378000.0,1.3
light,1488378300.0,3.2
light,1488378600.0,14.5
light,1488378900.0,14.3
light,1488379200.0,14.0
light,1488379500.0,14.2
light,1488379800.0,0.0
light,1488380100.0,2.3
light,1488380400.0,12.0
light,1488380700.0,0.1
light,1488381000.0,0.0
light,1488381300.0,0.0
light,1488381600.0,12.1
light,1488381900.0,14.3
light,1488382200.0,6.4
light,1488382500.0,2.6
light,1488382800.0,7.2
light,1488383100.0,5.5
light,1488383400.0,0.0
light,1488383700.0,0.0
light,1488384000.0,0.0
light,1488384300.0,7.8
light,1488384600.0,0.0
light,1488384900.0,9.6
light,1488385200.0,0.0
light,1488385500.0,5.4
light,1488385800.0,14.3
light,1488386100.0,0.1
light,1488386400.0,14.4
