node,sensor,unit,timestamp,value
frog-2,light,lux,1488189600.0,9.1
frog-2,light,lux,1488189900.0,0.0
frog-2,light,lux,1488190200.0,1.5
frog-2,light,lux,1488190500.0,0.0
frog-2,light,lux,1488190800.0,9.1
frog-2,light,lux,1488191100.0,0.0
frog-2,light,lux,1488191400.0,0.0
frog-2,light,lux,1488191700.0,4.2
frog-2,light,lux,1488192000.0,6.9
frog-2,light,lux,1488192300.0,14.3
frog-2,light,lux,1488192600.0,0.0
frog-2,light,lux,1488192900.0,10.3
frog-2,light,lux,1488193200.0,5.5
frog-2,light,lux,1488193500.0,10.9
frog-2,light,lux,1488193800.0,9.1
frog-2,light,lux,1488194100.0,0.0
frog-2,light,lux,1488194400.0,14.3
frog-2,light,lux,1488194700.0,14.0
frog-2,light,lux,1488195000.0,0.0
frog-2,light,lux,1488195300.0,9.6
frog-2,light,lux,1488195600.0,7.4
frog-2,light,lux,1488195900.0,4.5
frog-2,light,lux,1488196200.0,14.3
frog-2,light,lux,1488196500.0,14.2
frog-2,light,lux,1488196800.0,0.0
frog-2,light,lux,1488197100.0,4.7
frog-2,light,lux,1488197400.0,6.2
frog-2,light,lux,1488197700.0,9.7
frog-2,light,lux,1488198000.0,0.0
frog-2,light,lux,1488198300.0,0.2
frog-2,light,lux,1488198600.0,14.2
frog-2,light,lux,1488198900.0,11.3
frog-2,light,lux,1488199200.0,0.0
frog-2,light,lux,1488199500.0,13.4
frog-2,light,lux,1488199800.0,0.0
frog-2,light,lux,1488200100.0,14.2
frog-2,light,lux,1488200400.0,13.5
frog-2,light,lux,1488200700.0,11.7
frog-2,light,lux,1488201000.0,0.0
frog-2,light,lux,1488201300.0,3.7
frog-2,light,lux,1488201600.0,7.2
frog-2,light,lux,1488201900.0,14.3
frog-2,light,lux,1488202200.0,13.7
frog-2,light,lux,1488202500.0,0.0
frog-2,light,lux,1488202800.0,7.0
frog-2,light,lux,1488203100.0,0.2
frog-2,light,lux,1488203400.0,13.4
frog-2,light,lux,1488203700.0,2.9
frog-2,light,lux,1488204000.0,11.8
frog-2,light,lux,1488204300.0,10.7
frog-2,light,lux,1488204600.0,0.1
frog-2,light,lux,1488204900.0,11.6
frog-2,light,lux,1488205200.0,3.8
frog-2,light,lux,1488205500.0,14.0
frog-2,light,lux,1488205800.0,11.9
frog-2,light,lux,1488206100.0,8.3
frog-2,light,lux,1488206400.0,0.0
frog-2,light,lux,1488206700.0,0.0
frog-2,light,lux,1488207000.0,13.6
frog-2,light,lux,1488207300.0,11.6
frog-2,light,lux,1488207600.0,2.6
frog-2,light,lux,1488207900.0,3.8
frog-2,light,lux,1488208200.0,0.0
frog-2,light,lux,1488208500.0,13.6
frog-2,light,lux,1488208800.0,5.4
frog-2,light,lux,1488209100.0,4.6
frog-2,light,lux,1488209400.0,10.3
frog-2,light,lux,1488209700.0,0.0
frog-2,light,lux,1488210000.0,11.6
frog-2,light,lux,1488210300.0,8.5
frog-2,light,lux,1488210600.0,9.7
frog-2,light,lux,1488210900.0,0.0
frog-2,light,lux,1488211200.0,4.3
frog-2,light,lux,1488211500.0,0.0
frog-2,light,lux,1488211800.0,0.0
frog-2,light,lux,1488212100.0,3.8
frog-2,light,lux,1488212400.0,0.0
frog-2,light,lux,1488212700.0,0.0
frog-2,light,lux,1488213000.0,0.0
frog-2,light,lux,1488213300.0,0.0
frog-2,light,lux,1488213600.0,10.4
frog-2,light,lux,1488213900.0,12.5
frog-2,light,lux,1488214200.0,0.0
frog-2,light,lux,1488214500.0,0.0
frog-2,light,lux,1488214800.0,0.0
frog-2,light,lux,1488215100.0,16.7
