sensor_id,datetime,value
2,1488362400.0,14.1
2,1488362700.0,14.3
2,1488363000.0,0.0
2,1488363300.0,0.0
2,1488363600.0,12.8
2,1488363900.0,4.5
2,1488364200.0,0.0
2,1488364500.0,5.2
2,1488364800.0,11.3
2,1488365100.0,14.1
2,1488365400.0,8.6
2,1488365700.0,14.3
2,1488366000.0,4.8
2,1488366300.0,5.2
2,1488366600.0,0.0
2,1488366900.0,11.9
2,1488367200.0,0.0
2,1488367500.0,2.7
2,1488367800.0,1.2
2,1488368100.0,0.0
2,1488368400.0,1.1
2,1488368700.0,0.7
2,1488369000.0,1.5
2,1488369300.0,6.3
2,1488369600.0,0.0
2,1488369900.0,0.0
2,1488370200.0,4.2
2,1488370500.0,5.3
2,1488370800.0,0.2
2,1488371100.0,0.2
2,1488371400.0,8.1
2,1488371700.0,0.0
2,1488372000.0,12.1
2,1488372300.0,2.4
2,1488372600.0,0.0
2,1488372900.0,14.2
2,1488373200.0,11.9
2,1488373500.0,11.9
2,1488373800.0,13.7
2,1488374100.0,0.2
2,1488374400.0,4.2
2,1488374700.0,0.0
2,1488375000.0,0.0
2,1488375300.0,1.2
2,1488375600.0,11.9
2,1488375900.0,0.1
2,1488376200.0,12.8
2,1488376500.0,0.0
2,1488376800.0,6.7
2,1488377100.0,0.0
2,1488377400.0,0.0
2,1488377700.0,0.0
2,1488378000.0,0.1
2,1488378300.0,13.4
2,1488378600.0,0.0
2,1488378900.0,2.0
2,1488379200.0,4.6
2,1488379500.0,13.7
2,1488379800.0,4.7
2,1488380100.0,14.0
2,1488380400.0,0.0
2,1488380700.0,14.2
2,1488381000.0,7.7
2,1488381300.0,0.0
2,1488381600.0,2.8
2,1488381900.0,0.0
2,1488382200.0,2.4
2,1488382500.0,13.7
2,1488382800.0,0.0
2,1488383100.0,4.7
2,1488383400.0,0.0
2,1488383700.0,6.0
2,1488384000.0,10.4
2,1488384300.0,11.6
2,1488384600.0,0.0
2,1488384900.0,9.6
2,1488385200.0,0.7
2,1488385500.0,10.3
2,1488385800.0,0.0
2,1488386100.0,9.1
2,1488386400.0,9.8
2,1488386700.0,11.2
2,1488387000.0,13.8
2,1488387300.0,0.3
2,1488387600.0,7.9
2,1488387900.0,0.1
2,1488388200.0,0.1
2,1488388500.0,3.6
2,1488388800.0,0.0
2,1488389100.0,11.0
2,1488389400.0,5.4
2,1488389700.0,3.3
2,1488390000.0,16.2
2,1488390300.0,16.3
2,1488390600.0,16.4
2,1488390900.0,9.7
2,1488391200.0,23.6
2,1488391500.0,23.6
2,1488391800.0,26.0
2,1488392100.0,45.4
2,1488392400.0,46.8
2,1488392700.0,30.2
2,1488393000.0,44.0
2,1488393300.0,82.3
2,1488393600.0,95.9
2,1488393900.0,75.3
2,1488394200.0,86.8
2,1488394500.0,13.0
2,1488394800.0,21.4
2,1488395100.0,17.1
2,1488395400.0,0.0
2,1488395700.0,1.1
2,1488396000.0,14.3
2,1488396300.0,18.4
2,1488396600.0,7.6
2,1488396900.0,20.5
2,1488397200.0,24.7
2,1488397500.0,14.5
2,1488397800.0,29.0
2,1488398100.0,37.3
2,1488398400.0,45.3
2,1488398700.0,30.2
2,1488399000.0,61.7
2,1488399300.0,67.9
2,1488399600.0,40.0
2,1488399900.0,22.7
2,1488400200.0,16.9
2,1488400500.0,16.4
2,1488400800.0,34.7
2,1488401100.0,36.7
2,1488401400.0,31.9
2,1488401700.0,65.1
2,1488402000.0,61.8
2,1488402300.0,69.5
2,1488402600.0,52.8
2,1488402900.0,53.1
2,1488403200.0,67.4
2,1488403500.0,61.0
2,1488403800.0,55.3
2,1488404100.0,64.6
2,1488404400.0,113.0
2,1488404700.0,144.7
2,1488405000.0,151.7
2,1488405300.0,140.3
2,1488405600.0,137.9
2,1488405900.0,140.3
2,1488406200.0,137.3
2,1488406500.0,112.2
2,1488406800.0,99.9
2,1488407100.0,117.2
2,1488407400.0,101.9
2,1488407700.0,114.1
2,1488408000.0,104.9
2,1488408300.0,103.4
2,1488408600.0,62.4
2,1488408900.0,58.0
2,1488409200.0,60.1
2,1488409500.0,71.3
2,1488409800.0,64.8
2,1488410100.0,57.2
2,1488410400.0,60.6
2,1488410700.0,46.2
2,1488411000.0,40.4
2,1488411300.0,54.2
2,1488411600.0,66.2
2,1488411900.0,26.6
2,1488412200.0,36.0
2,1488412500.0,46.2
2,1488412800.0,73.9
2,1488413100.0,66.3
2,1488413400.0,39.2
2,1488413700.0,61.2
2,1488414000.0,86.9
2,1488414300.0,86.7
2,1488414600.0,55.8
2,1488414900.0,38.3
2,1488415200.0,40.4
2,1488415500.0,45.8
2,1488415800.0,41.1
2,1488416100.0,86.6
2,1488416400.0,132.8
2,1488416700.0,108.2
2,1488417000.0,142.6
2,1488417300.0,57.8
2,1488417600.0,38.6
2,1488417900.0,40.1
2,1488418200.0,58.8
2,1488418500.0,116.5
2,1488418800.0,96.1
2,1488419100.0,59.6
2,1488419400.0,61.6
2,1488419700.0,70.2
2,1488420000.0,55.6
2,1488420300.0,45.0
2,1488420600.0,35.8
2,1488420900.0,15.8
2,1488421200.0,24.5
2,1488421500.0,13.6
2,1488421800.0,31.6
2,1488422100.0,28.2
2,1488422400.0,24.0
2,1488422700.0,31.5
2,1488423000.0,17.2
2,1488423300.0,20.3
2,1488423600.0,22.7
2,1488423900.0,28.6
2,1488424200.0,20.7
2,1488424500.0,8.2
2,1488424800.0,0.4
2,1488425100.0,25.5
2,1488425400.0,12.0
2,1488425700.0,12.1
2,1488426000.0,26.2
2,1488426300.0,31.2
2,1488426600.0,6.9
2,1488426900.0,7.8
2,1488427200.0,32.8
2,1488427500.0,5.1
2,1488427800.0,4.3
2,1488428100.0,16.2
2,1488428400.0,0.1
2,1488428700.0,3.1
2,1488429000.0,0.0
2,1488429300.0,14.2
2,1488429600.0,0.0
2,1488429900.0,9.4
2,1488430200.0,0.0
2,1488430500.0,0.0
2,1488430800.0,0.0
2,1488431100.0,6.9
2,1488431400.0,2.1
2,1488431700.0,9.4
2,1488432000.0,0.0
2,1488432300.0,14.0
2,1488432600.0,0.0
2,1488432900.0,12.2
2,1488433200.0,2.5
2,1488433500.0,4.9
2,1488433800.0,0.0
2,1488434100.0,0.0
2,1488434400.0,0.6
1,1488362400.0,0.0
1,1488362700.0,0.0
1,1488363000.0,13.4
1,1488363300.0,0.0
1,1488363600.0,11.9
1,1488363900.0,0.0
1,1488364200.0,14.4
1,1488364500.0,0.0
1,1488364800.0,6.5
1,1488365100.0,10.9
1,1488365400.0,4.7
1,1488365700.0,7.8
1,1488366000.0,9.7
1,1488366300.0,0.0
1,1488366600.0,11.8
1,1488366900.0,14.5
1,1488367200.0,0.0
1,1488367500.0,14.5
1,1488367800.0,1.7
1,1488368100.0,14.3
1,1488368400.0,0.0
1,1488368700.0,0.0
1,1488369000.0,0.0
1,1488369300.0,14.3
1,1488369600.0,14.1
1,1488369900.0,14.2
1,1488370200.0,0.0
1,1488370500.0,8.5
1,1488370800.0,5.2
1,1488371100.0,14.4
1,1488371400.0,0.2
1,1488371700.0,12.3
1,1488372000.0,0.2
1,1488372300.0,0.0
1,1488372600.0,0.0
1,1488372900.0,4.8
1,1488373200.0,0.0
1,1488373500.0,0.0
1,1488373800.0,7.7
1,1488374100.0,0.3
1,1488374400.0,0.3
1,1488374700.0,3.1
1,1488375000.0,14.5
1,1488375300.0,13.2
1,1488375600.0,0.3
1,1488375900.0,0.0
1,1488376200.0,13.9
1,1488376500.0,9.4
1,1488376800.0,3.4
1,1488377100.0,12.1
1,1488377400.0,5.2
1,1488377700.0,0.0
1,1488378000.0,1.3
1,1488378300.0,3.2
1,1488378600.0,14.5
1,1488378900.0,14.3
1,1488379200.0,14.0
1,1488379500.0,14.2
1,1488379800.0,0.0
1,1488380100.0,2.3
1,1488380400.0,12.0
1,1488380700.0,0.1
1,1488381000.0,0.0
1,1488381300.0,0.0
1,1488381600.0,12.1
1,1488381900.0,14.3
1,1488382200.0,6.4
1,1488382500.0,2.6
1,1488382800.0,7.2
1,1488383100.0,5.5
1,1488383400.0,0.0
1,1488383700.0,0.0
1,1488384000.0,0.0
1,1488384300.0,7.8
1,1488384600.0,0.0
1,1488384900.0,9.6
1,1488385200.0,0.0
1,1488385500.0,5.4
1,1488385800.0,14.3
1,1488386100.0,0.1
1,1488386400.0,14.4
1,1488386700.0,12.2
1,1488387000.0,2.4
1,1488387300.0,14.3
1,1488387600.0,3.4
1,1488387900.0,3.2
1,1488388200.0,0.0
1,1488388500.0,1.4
1,1488388800.0,2.4
1,1488389100.0,5.3
1,1488389400.0,8.8
1,1488389700.0,16.7
1,1488390000.0,17.5
1,1488390300.0,18.2
1,1488390600.0,2.9
1,1488390900.0,10.8
1,1488391200.0,13.4
1,1488391500.0,38.1
1,1488391800.0,24.5
1,1488392100.0,41.3
1,1488392400.0,46.5
1,1488392700.0,108.1
1,1488393000.0,96.5
1,1488393300.0,94.1
1,1488393600.0,86.3
1,1488393900.0,67.3
1,1488394200.0,88.6
1,1488394500.0,0.0
1,1488394800.0,0.4
1,1488395100.0,5.0
1,1488395400.0,3.8
1,1488395700.0,3.7
1,1488396000.0,20.9
1,1488396300.0,13.4
1,1488396600.0,17.7
1,1488396900.0,24.8
1,1488397200.0,22.5
1,1488397500.0,20.2
1,1488397800.0,14.1
1,1488398100.0,24.9
1,1488398400.0,24.0
1,1488398700.0,44.0
1,1488399000.0,60.3
1,1488399300.0,57.1
1,1488399600.0,31.6
1,1488399900.0,37.3
1,1488400200.0,35.6
1,1488400500.0,26.6
1,1488400800.0,31.4
1,1488401100.0,36.4
1,1488401400.0,42.7
1,1488401700.0,43.5
1,1488402000.0,74.6
1,1488402300.0,72.6
1,1488402600.0,52.5
1,1488402900.0,55.4
1,1488403200.0,60.1
1,1488403500.0,47.1
1,1488403800.0,48.1
1,1488404100.0,72.2
1,1488404400.0,124.1
1,1488404700.0,163.1
1,1488405000.0,146.9
1,1488405300.0,160.4
1,1488405600.0,125.2
1,1488405900.0,149.4
1,1488406200.0,133.0
1,1488406500.0,114.3
1,1488406800.0,101.5
1,1488407100.0,93.1
1,1488407400.0,106.0
1,1488407700.0,113.6
1,1488408000.0,99.1
1,1488408300.0,106.3
1,1488408600.0,74.0
1,1488408900.0,67.3
1,1488409200.0,75.1
